Your Input	Gene	Public Name	Status	Sequence Name	Other Name	Transcript	WormPep	Uniprot	TreeFam	RefSeq_mRNA	RefSeq_protein	RNAi Phenotype Observed	RNAi Phenotype Not Observed	Allele Phenotype Observed	Allele Phenotype Not Observed	Expr_pattern Tissue	Genomic Study Tissue	Expr_pattern LifeStage	Genomic Study LifeStage	Public Name	Disease Info	Human Ortholog	Description Type	Description Text
R01E6.5	WBGene00010969	R01E6.5	Live	R01E6.5	CELE_R01E6.5	R01E6.5,R01E6.5	CE03522	Q21616	TF318393	NM_077862.3	NP_510263.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	spicule neuron,vulva	AVA,body wall musculature,GABAergic neuron,male-specific	adult Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult male Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce	R01E6.5	N.A.	N.A.	Automated_description	R01E6.5 is expressed in the spicule neurons and the vulva.
hmt-1	WBGene00001815	hmt-1	Live	W09D6.6	haf-5,haf-5,haf-5,CELE_W09D6.6	W09D6.6,W09D6.6:wp59,W09D6.6:wp84,W09D6.6	CE31731	G5EFD4	TF105194	NM_001027641.3	NP_001022812.1	cadmium hypersensitive,intestinal cell morphology variant	embryonic development variant,embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,Variant	arsenic hypersensitive,cadmium hypersensitive,copper hypersensitive	N.A.	coelomocyte,head neuron,intestine,tail neuron	germ line,intestine	adult Ce,larva Ce	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	hmt-1	dyschromatosis universalis hereditaria|Based on Sequence|DOID:0060304|ENSEMBL:ENSG00000115657|OMIM:615402	ENSG00000115657|ParaSite-Compara;Inparanoid_8;Panther	Concise_description	hmt-1 encodes a predicted transmembrane half-molecule ATP-binding cassette (ABC) transporter orthologous to Schizosaccharomyces pombe heavy metal tolerance factor 1 (SpHMT1), an ATP-dependent phytochelatin transporter; HMT-1 is required for cadmium detoxification and by homology, is predicted to promote sequestration of heavy metal-containing phytochelatins into intracellular vacuoles to protect cells from potential damage.
Y102E9.5	WBGene00044452	Y102E9.5	Live	Y102E9.5	CELE_Y102E9.5	Y102E9.5,Y102E9.5	CE38881	Q4PIV1	N.A.	NM_001038284.1	NP_001033373.1	N.A.	N.A.	N.A.	N.A.	N.A.	body wall muscle cell,germ line	N.A.	1-day post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	Y102E9.5	N.A.	N.A.	Automated_description	RNA sequencing and microarray studies indicate that Y102E9.5 is regulated by emr-1, lem-2, prg-1, ash-2, skn-1, and hsf-1; RNA sequencing studies indicate that Y102E9.5 is regulated by Rotenone; tiling array and RNA sequencing studies indicate that Y102E9.5 is enriched in the body wall muscle cell and germ line.
W02B12.4	WBGene00012202	W02B12.4	Live	W02B12.4	CELE_W02B12.4	W02B12.4,W02B12.4:wp57,W02B12.4:wp137,W02B12.4	CE37933	Q23123	N.A.	NM_064042.3	NP_496443.2	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	DA neuron,excretory cell,GABAergic neuron,germ line,I5 neuron,retrovesicular ganglion,SAB,VA neuron	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	W02B12.4	N.A.	ENSG00000169992|Panther,ENSG00000196338|Panther,ENSG00000169760|Panther,ENSG00000165246|Panther,ENSG00000146938|Panther	Automated_description	W02B12.4 is an ortholog of human NLGN2 (neuroligin 2), NLGN3 (neuroligin 3), NLGN1 (neuroligin 1), NLGN4Y (neuroligin 4, Y-linked) and NLGN4X (neuroligin 4, X-linked); microarray, tiling array, and RNA sequencing studies indicate that W02B12.4 is regulated by sma-2, lin-15B, lin-35, daf-12, hpl-2, wdr-23, emr-1, lem-2, clk-1, set-2, csr-1, glp-1, skn-1, daf-2, hsf-1, tdp-1, and nuo-6; microarray studies indicate that W02B12.4 is regulated by Lithium Chloride, Cry5B, and Humic substances; tiling array, RNA sequencing, and microarray studies indicate that W02B12.4 is enriched in the excretory cell and germ line and in the DA, VA, GABAergic, I5, SAB, and retrovesicular ganglion.
lin-29	WBGene00003015	lin-29	Live	W03C9.4	egl-29,CELE_W03C9.4	W03C9.4a,W03C9.4b,W03C9.4c,W03C9.4:wp52,W03C9.4b,W03C9.4a,W03C9.4c.1,W03C9.4c.2	CE28257,CE41270,CE45652	G5EGB2,E6N0V9,G5EGU6	TF321334	NM_001267395.1,NM_064144.5,NM_001129177.1	NP_496545.1,NP_001254324.1,NP_001122649.1	body wall muscle sarcomere morphology variant,dauer lifespan extended,developmental timing variant,egg laying defective,egg laying variant,exploded through vulva,gene expression level high,gene expression level reduced,gonad development variant,larval lethal,linker cell migration variant,locomotion variant,male gonad development variant,male somatic gonad development variant,male tail morphology variant,maternal sterile,mitochondria morphology variant,multivulva,non reflexed gonad arms,organism development variant,pattern of transgene expression variant,precocious alae,precocious seam cell fusion,protruding vulva,slow growth,sterile,transgene expression reduced,vulvaless	dumpy,embryonic lethal,exploded through vulva,germ cell development variant,gonad arm morphology variant,growth rate variant,larval arrest,larval lethal,locomotion variant,maternal sterile,no oocytes,organism morphology variant,pattern of transgene expression variant,postembryonic development variant,protein degradation variant,protruding vulva,reduced brood size,roller,slow growth,sterile,sterile progeny,Variant	adult cuticle development variant,alae absent,bag of worms,developmental timing variant,egg laying imipramine resistant,egg laying levamisole resistant,egg laying phentolamine resistant,egg laying serotonin resistant,egg laying variant,everted vulva,extra cell division postembryonic,gene expression level high,gene expression level reduced,lethal,molt defect,precocious alae,precocious seam cell fusion,protruding vulva,retarded heterochronic variations,spicule morphology variant,sterile,vulva cell fate specification variant,vulva development variant,vulva morphology variant	adult cuticle development variant,locomotion variant,over retracted male tail	Anchor cell,AS11,B cell,B.a,B.al,B.ala,B.alaa,B.alap,B.alapa,B.alapaa,B.alapaav,B.alapap,B.alapp,B.alappd,B.alp,B.alpa,B.alpaa,B.alpapa,B.alpp,B.ar,B.ara,B.araa,B.arap,B.arapa,B.arapaa,B.arapaav,B.arapap,B.arapp,B.arappd,B.arp,B.arpa,B.arpaa,B.arpap,B.arpapa,B.arpp,B.p,B.pa,B.pp,B.ppa,B.ppaa,B.ppp,B.pppp,B.ppppp,CA9,CP9,DTC,F cell,gon_male_vdef,head neuron,hyp1,hyp2,hyp3,hyp4,hyp5,hyp6,hyp7 syncytium,hyp8,hyp9,hyp10,hyp11,hyp12,hypodermis,ILshVR,linker cell,male,nervous system,pharyngeal cell,proct,R1R_hyp,R2L_hyp,R2R_hyp,R3L_hyp,R4L_hyp,R4R_hyp,R5L_hyp,R5R_hyp,seam cell,se_male,spermatheca,SPVL,SPVR,U cell,uterus,VA11,ventral cord neuron,vulA,vulB1,vulB2,vulC,vulD,vulE,vulF,vulva	germ line,gon_male_dtc anterior,gon_male_dtc posterior,male-specific,OLL,PVD,Z1.p,Z4.a	adult Ce,fully-elongated embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,postembryonic Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	lin-29	N.A.	ENSG00000126746|ParaSite-Compara,ENSG00000160094|ParaSite-Compara	Concise_description	lin-29 encodes a zinc finger transcription factor of the C2H2 type that affects the heterochronic development of the vulva, egg laying system, male gonad, cuticle, molting cycle and vitellogenesis; expressed in uterine and vulval muscle cells, seam cells, pharynx, head neurons, ventral cord neurons, preanal ganglion, distal tip cells, anchor cell, vulval cells, male-specific linker cell, and cells in the tail.
F30A10.2	WBGene00009261	F30A10.2	Live	F30A10.2	CELE_F30A10.2	F30A10.2,F30A10.2:wp151,F30A10.2	CE39360	Q93642	TF318849	NM_060114.6	NP_492515.2	embryonic lethal,larval arrest,reduced brood size,sick	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germline precursor cell,hypodermis,intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	F30A10.2	N.A.	N.A.	Automated_description	F30A10.2 is involved in embryo development and nematode larval development.
Y22D7AL.11	WBGene00021249	Y22D7AL.11	Live	Y22D7AL.11	CELE_Y22D7AL.11	Y22D7AL.11,Y22D7AL.11:wp147,Y22D7AL.11	CE39039	Q965P8	TF319633	NM_065030.3	NP_497431.2	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	lethal	N.A.	N.A.	N.A.	N.A.	Y22D7AL.11	Fukuyama congenital muscular dystrophy|Based on Sequence|DOID:0050559|ENSEMBL:ENSG00000106692|OMIM:253800,Walker-Warburg syndrome|Based on Sequence|DOID:0050560|ENSEMBL:ENSG00000106692|OMIM:236670,muscular dystrophy-dystroglycanopathy|Based on Sequence|DOID:0050588|ENSEMBL:ENSG00000106692|OMIM:613152,autosomal recessive limb-girdle muscular dystrophy type 2M|Based on Sequence|DOID:0110296|ENSEMBL:ENSG00000106692|OMIM:611588,dilated cardiomyopathy 1X|Based on Sequence|DOID:0110444|ENSEMBL:ENSG00000106692|OMIM:611615	ENSG00000106692|ParaSite-Compara;Inparanoid_8;Panther	Automated_description	Y22D7AL.11 is an ortholog of human FKTN (fukutin); microarray and RNA sequencing studies indicate that Y22D7AL.11 is regulated by cyc-1, ubc-9, swsn-2.2, and npr-1; RNA sequencing and microarray studies indicate that Y22D7AL.11 is regulated by Sodium arsenite and Dafa#1.
cul-6	WBGene00000841	cul-6	Live	K08E7.7	CELE_K08E7.7	K08E7.7a,K08E7.7b,K08E7.7a	CE11928	Q21346	N.A.	NR_131627.1,NM_070011.3	NP_502412.1	embryonic lethal,extended life span,growth rate variant,resistant to protein aggregation induced paralysis,shortened life span,slow growth,spontaneous mutation rate increased	accumulated germline cell corpses,apoptosis increased,chemical hypersensitive,embryonic development variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,programmed cell death variant,protein subcellular localization variant,shortened life span,slow growth,sterile,sterile progeny,Variant	N.A.	N.A.	N.A.	AVA,body wall muscle cell,GABAergic neuron,germ line,gon_male_dtc anterior,gon_male_dtc posterior,neuron,Z1.p,Z4.a	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	cul-6	N.A.	ENSG00000055130|ParaSite-Compara,ENSG00000151893|Panther,ENSG00000036257|Panther	Concise_description	cul-6 encodes a member of the cullin family that may physically interact with SKR-3.
R07B1.13	WBGene00138711	R07B1.13	Live	R07B1.13	CELE_R07B1.13	R07B1.13,R07B1.13	CE42973	B5U8L3	N.A.	NM_001136461.1	NP_001129933.1	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	N.A.	N.A.	coelomocyte,hypodermis	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,adult male Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	R07B1.13	N.A.	N.A.	Automated_description	RNA sequencing and microarray studies indicate that R07B1.13 is regulated by prp-8, rsr-2, emr-1, lem-2, tdp-1, ham-3, swsn-2.2, cco-1, jmjd-3.1, jmjd-1.2, hsf-1, rbr-2, dpy-21, alg-1, mir-243, crh-1, tax-6, oga-1, and pmk-1; RNA sequencing and microarray studies indicate that R07B1.13 is regulated by Methylmercury hydroxide, 1-methylnicotinamide, D-glucose, Chlorpyrifos, and Sirolimus; tiling array studies indicate that R07B1.13 is enriched in the coelomocytes and hypodermis.
Y22D7AL.9	WBGene00021247	Y22D7AL.9	Live	Y22D7AL.9	CELE_Y22D7AL.9	Y22D7AL.9,Y22D7AL.9:wp130,Y22D7AL.9	CE37423	Q965Q2	TF344255	NM_065026.6	NP_497427.2	larval arrest	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	N.A.	N.A.	germ line	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce	Y22D7AL.9	N.A.	ENSG00000100154|ParaSite-Compara	Automated_description	Y22D7AL.9 is an ortholog of human TTC28 (tetratricopeptide repeat domain 28); Y22D7AL.9 is involved in nematode larval development.
R07B1.5	WBGene00011077	R07B1.5	Live	R07B1.5	CELE_R07B1.5	R07B1.5,R07B1.5	CE01631	Q09419	N.A.	NM_077252.1	NP_509653.1	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	body wall muscle cell,hypodermis	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	R07B1.5	N.A.	N.A.	Automated_description	Microarray, RNA sequencing, and tiling array studies indicate that R07B1.5 is regulated by sma-2, sma-4, wdr-23, rsr-2, emr-1, bar-1, ubc-9, tdp-1, jmjd-3.1, sir-2.1, mut-2, alg-1, mir-243, ash-2, aak-2, crh-1, tax-6, oga-1, and pmk-1; RNA sequencing and microarray studies indicate that R07B1.5 is regulated by Methylmercury hydroxide, Atrazine, Colistin, and Sirolimus; tiling array studies indicate that R07B1.5 is enriched in the body wall muscle cell and hypodermis.
acdh-2	WBGene00015894	acdh-2	Live	C17C3.12	CELE_C17C3.12	C17C3.12a,C17C3.12b,C17C3.12c,C17C3.12a:wp104,C17C3.12a.1,C17C3.12a.2,C17C3.12b,C17C3.12c.1,C17C3.12c.2,C17C3.12c.3	CE34697,CE29175,CE29176	H2KYT9,Q9BIB0,H2KYU0	TF105055	NM_062665.5,NM_062667.4,NM_062666.4	NP_495068.1,NP_495067.1,NP_495066.2	N.A.	dauer arrest variant,embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,transgene expression increased,Variant	N.A.	lethal	body wall musculature,intestine	DD neuron	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce	acdh-2	N.A.	ENSG00000196177|ParaSite-Compara;Panther	Concise_description	acdh-2 encodes a short-chain acyl-CoA dehydrogenase; ACDH-2 is predicted to be a mitochondrial enzyme that catalyzes the first step of fatty acid beta-oxidation and thus plays a key role in energy production; steady-state acdh-2 mRNA levels are under the control of the MDT-15 mediator complex subunit; in addition, gene expression studies indicate that acdh-2 expression is downregulated in fasted animals; loss of acdh-2 activity via large-scale RNAi experiments does not result in any obvious defects.
R07B1.6	WBGene00011078	R07B1.6	Live	R07B1.6	CELE_R07B1.6	R07B1.6,R07B1.6	CE01632	Q09420	N.A.	NM_077253.1	NP_509654.1	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	NSM,OLL,PVD	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	R07B1.6	N.A.	N.A.	Automated_description	Microarray, tiling array, and RNA sequencing studies indicate that R07B1.6 is regulated by cyc-1, hpl-2, tdp-1, alg-1, crh-1, tax-6, lin-54, mir-35, oga-1, ogt-1, and pmk-1; microarray and RNA sequencing studies indicate that R07B1.6 is regulated by Tryptophan, Methylmercury hydroxide, and Colistin; microarray and tiling array studies indicate that R07B1.6 is enriched in the PVD, OLL, and NSM neurons.
R07B1.7	WBGene00011079	R07B1.7	Live	R07B1.7	CELE_R07B1.7	R07B1.7,R07B1.7:wp194,R07B1.7	CE43001	Q09421	N.A.	NM_077254.2	NP_509655.2	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	N.A.	N.A.	coelomocyte,OLL,PVD	N.A.	1-day post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,adult Ce,adult male Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	R07B1.7	N.A.	N.A.	Automated_description	Microarray, tiling array, and RNA sequencing studies indicate that R07B1.7 is regulated by lin-15B, hpl-2, bar-1, ubc-9, clk-1, jmjd-3.1, alg-1, crh-1, tax-6, oga-1, and pmk-1; RNA sequencing and microarray studies indicate that R07B1.7 is regulated by Methylmercury hydroxide, Multi-walled carbon nanotubes, Cadmium, and Sirolimus; microarray and tiling array studies indicate that R07B1.7 is enriched in the coelomocytes and in the PVD and OLL neurons.
fasn-1	WBGene00009342	fasn-1	Live	F32H2.5	emb-14,CELE_F32H2.5	F32H2.5,F32H2.5:wp192,F32H2.5	CE42777	P91871	TF300549	NM_060016.5	NP_492417.2	apoptosis fails to occur,apoptosis reduced,asymmetric cell division defective early emb,cell membrane organization biogenesis variant,chromosome condensation variant,diet induced life span variant,diplotene absent during oogenesis,embryo osmotic integrity defective early emb,embryonic arrest,embryonic lethal,embryonic polarity variant,fat content reduced,germ cell compartment expansion absent,germ cell compartment expansion variant,germ cell compartment multinucleate,germ cell compartment size variant,germ cell compartment small,germ cell partition morphology variant,germline nuclear positioning variant,gonad small,larval arrest,lethal,life span variant,lipid depleted,lysosome-related organelle morphology variant,no oocytes,nuclear fallout,nuclei small,oocyte number decreased,organism starvation response variant,P granule localization defective,pachytene progression during oogenesis variant,pachytene region organization variant,polar body reabsorbed early emb,protein subcellular localization variant,RAB-11 recycling endosome morphology variant,rachis absent,rachis narrow,rachis wide,shortened life span,sterile,transgene expression increased,transgene expression reduced,transgene subcellular localization variant	fat content variant,intestinal vacuole,transgene expression increased	embryo osmotic integrity defective early emb,embryonic arrest,embryonic lethal,gonad development variant,larval arrest,male mating defective	N.A.	head neuron,hyp7 syncytium,intestine,seam cell,spermatheca,tail neuron	germ line,hermaphrodite-specific,male-specific	L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce,oocyte-laying stage adult hermaphrodite Ce	fasn-1	N.A.	ENSG00000169710|ParaSite-Compara;Inparanoid_8;Panther	Concise_description	fasn-1 encodes a fatty acid synthase, orthologous to human FASN (OMIM:600212); CEP-1 is required for fully normal fasn-1 expression in vivo; CEP-1 drives transcription of luciferase reporters whose promoters contains either of two putative CEP-1 binding sites (FAS-T1 and FAS-T2) found in the fasn-1 gene, and this activity is partially lost by mutation of conserved CEP-1 residues (R298 or H310); in humans, the CEP-1 ortholog isoforms TAp73alpha and deltaNp63alpha bind the human FASN gene, suggesting that FASN genes might be a conserved direct target of p53-like proteins in metazoa; fasn-1 transcription is moderately activated (2 to 4-fold) in L1 or L2 larvae starved for 12 hours, but is not so activated in later larvae or adults.
R07E3.6	WBGene00011107	R07E3.6	Live	R07E3.6	CELE_R07E3.6	R07E3.6,R07E3.6	CE02300	Q21811	TF350127	NM_077330.3	NP_509731.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	lethal	N.A.	hypodermis,OLL,PVD	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	R07E3.6	N.A.	N.A.	Automated_description	RNA sequencing and microarray studies indicate that R07E3.6 is regulated by Methylmercury hydroxide, 1-methylnicotinamide, Rotenone, Manganese chloride, D-glucose, Resveratrol, Atrazine, Fluoranthene, Quercetin, single-walled carbon nanotubes, Selenium, Colistin, Dafa#1, and Sirolimus; microarray and tiling array studies indicate that R07E3.6 is enriched in the hypodermis and in the PVD and OLL neurons.
fbxa-74	WBGene00021262	fbxa-74	Live	Y22D7AR.9	CELE_Y22D7AR.9	Y22D7AR.9,Y22D7AR.9.1,Y22D7AR.9.2,Y22D7AR.9.3	CE23413	Q9BKX6	TF322006	NM_065045.6	NP_497446.3	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	fbxa-74	N.A.	N.A.	Automated_description	Microarray, proteomic, tiling array, and RNA sequencing studies indicate that fbxa-74 is regulated by cyc-1, nhr-49, hpl-2, atfs-1, spg-7, eat-2, daf-16, swsn-2.2, npr-1, cco-1, jmjd-3.1, jmjd-1.2, hsf-1, and nasp-1; microarray and RNA sequencing studies indicate that fbxa-74 is regulated by Mercuric Chloride, Rotenone, Cry5B, Humic substances, Copper sulfate, Paraquat, Colistin, Dafa#1, and Sirolimus; tiling array studies indicate that fbxa-74 is enriched in the intestine.
zip-3	WBGene00012330	zip-3	Live	W07G1.3	CELE_W07G1.3	W07G1.3,W07G1.3:wp128,W07G1.3.1,W07G1.3.2	CE37052	Q9XUK2	TF321841	NM_064518.4	NP_496919.2	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	N.A.	N.A.	germ line,intestine,muscle cell,OLL,PVD,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	zip-3	N.A.	ENSG00000169136|Inparanoid_8;Panther,ENSG00000128272|Panther	Concise_description	zip-3 encodes a bZip transcription factor.
grd-1	WBGene00001690	grd-1	Live	R08B4.1	CELE_R08B4.1	R08B4.1a,R08B4.1b,R08B4.1:wp52,R08B4.1:wp83,R08B4.1:wp101,R08B4.1b.1,R08B4.1b.2,R08B4.1a.1,R08B4.1a.2	CE34080,CE34081	Q7YXC8,Q21835	TF106458	NM_001029672.2,NM_001029673.2	NP_001024843.1,NP_001024844.1	blistered,male tail development variant,molt defect,small	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	lethal,sterile	amphid phasmid morphology variant,cuticle morphology variant,lethal,molt defect	rect_D,rect_VL,rect_VR	hypodermis,intestine,OLL,PVD	adult Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	grd-1	N.A.	N.A.	Concise_description	grd-1 encodes a hedgehog-like protein, with (from N- to C-terminus) a signal sequence, a Ground domain, an extended region of low-complexity sequence, and a Hint/Hog domain; GRD-1 is expressed in rectal cells; the Hint/Hog domain is predicted to cut GRD-1 into two halves and then covalently link cholesterol to the C-terminus of the Ground domain; the Ground domain is predicted to form a cysteine-crosslinked protein involved in intercellular signalling, and it has subtle similarity to the N-terminal Hedge domain of HEDGEHOG proteins; GRD-1 is weakly required for normal molting; GRD-1 is also required for normal growth to full size, cuticle adhesion, and male tail development; all of these requirements may reflect common defects in cholesterol-dependent hedgehog-like signalling or in vesicle trafficking.
F49D11.6	WBGene00018630	F49D11.6	Live	F49D11.6	CELE_F49D11.6	F49D11.6,F49D11.6:wp205,F49D11.6	CE44140	O44721	TF316032	NM_060442.2	NP_492843.2	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	hypodermis	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult male Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	F49D11.6	N.A.	N.A.	Automated_description	F49D11.6 is predicted to have sulfotransferase activity, based on protein domain information.
